post_id,datetime_raw,privacy,text,comment_count,comments_json,comments_joined
58,Jan 19 2026,Friend,শেষের পথে.....তবু যেন হয় না শেষ...!!!,5,"[""Shesh kore tarpor?"", ""Precious"", ""Apnader sthe tempu chalabo vai"", ""Precious"", ""Bondhu tmr entry ta""]",Shesh kore tarpor? || Precious || Apnader sthe tempu chalabo vai || Precious || Bondhu tmr entry ta
59,Feb 9 2026,,Porashuno,5,"[""Arts na science e poro tmi"", ""Wow all Best for exam"", ""Best of luck dear Sanai"", ""Be attention"", ""All the best....""]",Arts na science e poro tmi || Wow all Best for exam || Best of luck dear Sanai || Be attention || All the best....
60,Feb 1 2025,Public,"আমার কেমন জানি করে মন, কেমন জানি করে ইচ্ছে গুলো যত্নে সাজাই আমি তোমার তরে",5,"[""i wish"", ""Beautiful"", ""মাশাআল্লাহ"", ""এত সুন্দর জায়গা"", ""অনেক সুন্দর হয়েছে""]",i wish || Beautiful || মাশাআল্লাহ || এত সুন্দর জায়গা || অনেক সুন্দর হয়েছে
61,Feb 2 2026,Public,"Elegance is the only beauty that never fades.""",5,"[""Same Expression"", ""so pretty"", ""nice picture"", ""Beautiful"", ""কিউট""]",Same Expression || so pretty || nice picture || Beautiful || কিউট
62,2  February at 04:53,Public,"Silence is often treated as weakness, yet our tradition values restraint. Speaking without need hardens the heart and fuels regret. Peace of mind grows when words are chosen carefully.",8,"[""Right"", ""Thank you Dr for your reminder."", ""absolutely.."", ""Undoubtedly."", ""True"", ""That's very correct.Zazzaka Allahu Khairun"", ""Alhamdulillah"", ""Definitely""]",Right || Thank you Dr for your reminder. || absolutely.. || Undoubtedly. || True || That's very correct.Zazzaka Allahu Khairun || Alhamdulillah || Definitely
63,1 February at 04:55,Public,"Ramadan arrives with opportunities for reflection, restraint, and closeness to Allah. A heart weighed down by distraction finds it difficult to benefit fully. Reducing noise, excess, and unnecessary engagement creates space for worship and reflection.",6,"[""Aameen"", ""Ma sha Allah"", ""Ameen"", ""Masha Allah."", ""Allahu akbar"", ""distracted soul cannot hear direction.""]",Aameen || Ma sha Allah || Ameen || Masha Allah. || Allahu akbar || distracted soul cannot hear direction.
64,31 January at 03:16,Public,Many people exhaust themselves chasing what was never written for them. This struggle creates restlessness rather than relief. Contentment with Allah's decree is the moment the heart finally rests,6,"[""True"", ""Yes Absolutely Dr"", ""Fact"", ""It is true my brother in Islam"", ""Last week and the week after"", ""True but Alhamdulillah""]",True || Yes Absolutely Dr || Fact || It is true my brother in Islam || Last week and the week after || True but Alhamdulillah
65,25 January at 03:49,Public,"Prayer and fasting are essential acts of worship, but worship also includes love, trust, fear, and reliance placed in Allah throughout the day. These inner states shape everyday choices and actions.",6,"[""Alhamdulillah"", ""Jazakallahu kair sir."", ""Ya Alllah purify our intentions till we meet you"", ""Alhamdulillah"", ""Correct"", ""Intention is everything""]",Alhamdulillah || Jazakallahu kair sir. || Ya Alllah purify our intentions till we meet you || Alhamdulillah || Correct || Intention is everything
66,23 January at 13:40,Public,"Islam teaches closeness to Allah without intermediaries or special figures. Supplication is not passed through people, objects, or symbols, but offered directly to Allah, protecting sincerity and reliance.",5,"[""Alhamdulillah Alhamdulillah"", ""Ameen YAAH RAAB"", ""The greatest man S.A.W"", ""Jazakallahu Khairan"", ""100% More importantly is gratitude""]",Alhamdulillah Alhamdulillah || Ameen YAAH RAAB || The greatest man S.A.W || Jazakallahu Khairan || 100% More importantly is gratitude
67,22 January at 12:29,Public,"Knowing that Allah created and sustains you is the beginning of faith. Islam calls for belief that guides decisions, priorities, and behaviour, allowing faith to move beyond knowledge into lived practice.",6,"[""Brainwashing"", ""Certainly"", ""Allahu Akbar"", ""Ameen Ya Rabbal Alameen."", ""Masha Allah"", ""Alhamdu lillah""]",Brainwashing || Certainly || Allahu Akbar || Ameen Ya Rabbal Alameen. || Masha Allah || Alhamdu lillah
